name,place,sum_views,pref,geometry,address
あいみょん,西宮市,1104033.0,兵庫県,POINT (135.3394138 34.7386033),"西宮市, 兵庫県, 662-8567, 日本"
石橋凌,久留米市,1089001.0,福岡県,POINT (130.5081592 33.3196648),"久留米市, 福岡県, 日本"
柄本佑,富士市,1088453.0,静岡県,POINT (138.6763863 35.161852),"富士市, 静岡県, 日本"
鎌田大地,伊予市,1084609.0,愛媛県,POINT (132.7039458 33.7578962),"伊予市, 愛媛県, 799-3193, 日本"
常田大希,伊那市,1082187.0,長野県,POINT (137.954916 35.830452),"伊那市, 長野県, 日本"
吉川晃司,府中町,1079362.0,広島県,POINT (132.524231 34.406835),"府中町, 安芸郡, 広島県, 日本"
立花孝志,泉大津市,1068720.0,大阪府,POINT (135.408793 34.506612),"泉大津市, 大阪府, 日本"
福山雅治,大川市,1068658.0,福岡県,POINT (130.3835746 33.2061857),"大川市, 福岡県, 日本"
鈴木誠也,荒川区,1065620.0,東京都,POINT (139.78131 35.737529),"荒川区, 東京都, 日本"
大江広元,厚木市,1062653.0,神奈川県,POINT (139.323536 35.464797),"厚木市, 神奈川県, 日本"
梶裕貴,坂戸市,1056077.0,埼玉県,POINT (139.4029048 35.9572312),"坂戸市, 埼玉県, 日本"
太宰治,船橋市,1037612.0,千葉県,POINT (139.988668 35.699997),"船橋市, 千葉県, 日本"
太宰治,五所川原市,1037612.0,青森県,POINT (140.4459462 40.8076098),"五所川原市, 青森県, 日本"
松井秀喜,能美市,1022419.0,石川県,POINT (136.5424414 36.4392262),"能美市, 石川県, 日本"
木南晴夏,豊中市,1016140.0,大阪府,POINT (135.4737093 34.7862025),"豊中市, 大阪府, 日本"
美空ひばり,日光市,1012224.0,栃木県,POINT (139.6989028 36.7196755),"日光市, 栃木県, 日本"
中村アン,江東区,1010495.0,東京都,POINT (139.81279 35.649154),"江東区, 東京都, 日本"
桜田淳子,秋田市,1010157.0,秋田県,POINT (140.1034669 39.7197629),"秋田市, 秋田県, 日本"
東海オンエア,安城市,1005320.0,愛知県,POINT (137.075563 34.947764),"安城市, 愛知県, 日本"
山本太郎,宝塚市,1004437.0,兵庫県,POINT (135.3257734 34.8659057),"宝塚市, 兵庫県, 日本"
王貞治,墨田区,1000567.0,東京都,POINT (139.8058673 35.7003789),"墨田区, 東京都, 日本"
王貞治,茅野市,1000567.0,長野県,POINT (138.157854 35.98562),"茅野市, 長野県, 日本"
ビートたけし,足立区,997061.0,東京都,POINT (139.795319 35.783703),"足立区, 東京都, 日本"
ビートたけし,阿南市,997061.0,徳島県,POINT (134.6596974 33.9220102),"阿南市, 徳島県, 日本"
藤井聡太,瀬戸市,995154.0,愛知県,POINT (137.116187 35.240984),"瀬戸市, 愛知県, 日本"
坂口健太郎,府中市,992122.0,東京都,POINT (139.4734451 35.6611119),"府中市, 東京都, 日本"
黒柳徹子,滝川市,988109.0,北海道,POINT (141.9103697 43.5577956),"滝川市, 空知総合振興局, 北海道, 日本"
黒柳徹子,南部町,988109.0,青森県,POINT (141.3820348 40.4665818),"南部町, 三戸郡, 青森県, 日本"
宇多田ヒカル,山口市,987254.0,山口県,POINT (131.4737077 34.1781317),"山口市, 山口県, 日本"
宇多田ヒカル,旭川市,987254.0,北海道,POINT (142.3649743 43.770625),"旭川市, 上川総合振興局, 北海道, 日本"
宇多田ヒカル,一関市,987254.0,岩手県,POINT (141.126605 38.9346961),"一関市, 岩手県, 日本"
高畑充希,東大阪市,985011.0,大阪府,POINT (135.597728 34.678147),"東大阪市, 大阪府, 日本"
石原裕次郎,廿日市市,971938.0,広島県,POINT (132.331833 34.3485048),"廿日市市, 広島県, 日本"
磯村勇斗,沼津市,971153.0,静岡県,POINT (138.866742 35.094699),"沼津市, 静岡県, 日本"
浅野拓磨,菰野町,960003.0,三重県,POINT (136.4832483 35.0494225),"菰野町, 三重郡, 三重県, 日本"
松嶋菜々子,八幡平市,957890.0,岩手県,POINT (141.0709451 39.9564706),"八幡平市, 岩手県, 日本"
ティモンディ,大津市,946849.0,滋賀県,POINT (135.8686739 35.0047096),"大津市, 滋賀県, 日本"
二宮和也,葛飾区,946213.0,東京都,POINT (139.863816 35.751733),"葛飾区, 東京都, 日本"
二宮和也,郡山市,946213.0,福島県,POINT (140.333381 37.404937),"郡山市, 福島県, 日本"
森川葵,東海市,945070.0,愛知県,POINT (136.90902 35.044082),"東海市, 愛知県, 477-0032, 日本"
藤島ジュリー景子,和歌山市,942303.0,和歌山県,POINT (135.1782181 34.234617),"和歌山市, 和歌山県, 640-8511, 日本"
森川智之,品川区,936692.0,東京都,POINT (139.73891 35.599252),"品川区, 東京都, 日本"
土屋太鳳,益城町,914396.0,熊本県,POINT (130.837755 32.789501),"益城町, 上益城郡, 熊本県, 日本"
郷ひろみ,須恵町,912514.0,福岡県,POINT (130.5011169 33.6019828),"須恵町, 糟屋郡, 福岡県, 日本"
生駒里奈,由利本荘市,910575.0,秋田県,POINT (140.0487402 39.3858771),"由利本荘市, 秋田県, 日本"
布袋寅泰,高崎市,909975.0,群馬県,POINT (139.0032758 36.3220984),"高崎市, 群馬県, 日本"
高見知佳,新居浜市,905257.0,愛媛県,POINT (133.2835899 33.9603497),"新居浜市, 愛媛県, 日本"
星野源,川口市,904400.0,埼玉県,POINT (139.7241054 35.8078228),"川口市, 埼玉県, 日本"
松田優作,下関市,903240.0,山口県,POINT (130.9415455 33.9577116),"下関市, 山口県, 日本"
吉田茂,宿毛市,899622.0,高知県,POINT (132.7262671 32.9390595),"宿毛市, 高知県, 788-0782, 日本"
有吉弘行,熊野町,896674.0,広島県,POINT (132.589358 34.344237),"熊野町, 安芸郡, 広島県, 731-4214, 日本"
神木隆之介,富士見市,891289.0,埼玉県,POINT (139.5490731 35.8565545),"富士見市, 埼玉県, 日本"
浜田雅功,垂水市,888934.0,鹿児島県,POINT (130.7012264 31.4926939),"垂水市, 鹿児島県, 日本"
朴璐美,江戸川区,881893.0,東京都,POINT (139.871091 35.678278),"江戸川区, 東京都, 134-0003, 日本"
兼近大樹,まんのう町,881022.0,香川県,POINT (133.8932453 34.1781356),"まんのう町, 仲多度郡, 香川県, 766-0024, 日本"
梁田清之,練馬区,880808.0,東京都,POINT (139.6162651 35.7506445),"練馬区, 東京都, 日本"
堂本剛,奈良市,871862.0,奈良県,POINT (135.8048359 34.6845445),"奈良市, 奈良県, 日本"
中居正広,高石市,868278.0,大阪府,POINT (135.424388 34.532059),"高石市, 大阪府, 日本"
中居正広,藤沢市,868278.0,神奈川県,POINT (139.465077 35.364842),"藤沢市, 神奈川県, 日本"
